Distance_m,Obstacle_Count,Obstacle_Type,Noise_Power_dBm,Received_SNR_dB,Total_Path_Loss_dB,BER,Is_Outage
67.29,3,Concrete,-67.54,-19.07,106.61,0.4417,True
39.53,2,Concrete,-89.69,17.69,91.99,0.0,False
10.25,0,None,-63.1,22.83,60.27,0.0,False
75.64,2,Glass,-80.65,19.02,81.63,0.0,False
170.56,3,Glass,-63.53,-7.17,90.69,0.2698,True
183.81,4,Concrete,-98.25,-7.09,125.34,0.2633,True
98.32,2,Concrete,-73.01,-6.9,99.91,0.2618,True
39.83,1,Glass,-66.28,12.22,74.06,0.0,False
89.56,4,Concrete,-65.28,-33.82,119.1,0.4917,True
50.61,2,Concrete,-66.42,-7.72,94.14,0.2793,True
134.74,1,Concrete,-99.87,27.22,92.64,0.0,False
74.78,1,Glass,-85.95,26.42,79.53,0.0,False
23.08,0,None,-74.68,27.36,67.32,0.0,False
37.3,2,Glass,-63.81,8.32,75.49,0.0,False
176.92,4,Glass,-83.71,10.7,93.01,0.0,False
77.97,0,None,-92.06,34.16,77.89,0.0,False
163.15,2,Glass,-63.12,-5.19,88.31,0.2194,True
144.18,3,Concrete,-85.88,-7.35,113.23,0.2785,True
188.49,1,Glass,-61.96,-5.6,87.56,0.2284,True
120.03,0,None,-95.04,33.4,81.64,0.0,False
23.12,0,None,-76.8,29.47,67.33,0.0,False
31.86,1,Concrete,-68.97,8.85,80.12,0.0,False
10.03,3,Concrete,-93.11,23.03,90.08,0.0,False
59.52,3,Glass,-91.0,29.46,81.55,0.0,False
182.17,3,Glass,-85.79,14.52,91.26,0.0,False
120.6,1,Concrete,-93.28,21.6,91.68,0.0,False
136.73,1,Glass,-69.58,4.81,84.77,0.0077,False
38.53,0,None,-71.08,19.31,71.77,0.0,False
28.62,3,Glass,-97.85,42.67,75.19,0.0,False
175.45,1,Glass,-94.32,27.38,86.94,0.0,False
94.61,3,Concrete,-84.75,-4.83,109.57,0.2132,True
11.47,4,Concrete,-61.36,-19.89,101.25,0.4304,True
164.66,4,Concrete,-73.72,-30.67,124.39,0.4804,True
190.43,4,Concrete,-81.23,-24.42,125.65,0.464,True
153.16,1,Glass,-78.63,12.87,85.76,0.0,False
34.02,2,Glass,-95.48,40.79,74.69,0.0,False
175.37,1,Glass,-69.32,2.39,86.93,0.0308,False
124.63,0,None,-80.3,18.33,81.97,0.0,False
132.39,4,Concrete,-77.77,-24.72,122.49,0.4654,True
10.2,2,Glass,-80.38,36.16,64.22,0.0,False
124.99,3,Glass,-66.09,-1.9,87.99,0.1292,True
165.89,4,Concrete,-66.27,-38.18,124.45,0.4974,True
54.02,2,Glass,-70.47,11.76,78.7,0.0,False
22.37,0,None,-87.46,40.42,67.05,0.0,False
117.93,4,Concrete,-95.31,-6.18,121.49,0.2391,True
188.99,3,Glass,-67.05,-4.53,91.58,0.2066,True
83.38,4,Glass,-94.43,27.96,86.48,0.0,False
148.41,3,Glass,-64.09,-5.39,89.48,0.2241,True
132.21,4,Concrete,-60.58,-41.9,122.48,0.4979,True
78.24,2,Concrete,-78.87,0.95,97.92,0.0565,False
137.32,3,Glass,-89.82,21.01,88.81,0.0,False
176.01,4,Glass,-77.53,4.56,92.97,0.0084,False
121.77,2,Glass,-86.75,20.99,85.77,0.0,False
143.93,0,None,-96.18,32.96,83.22,0.0,False
81.68,1,Glass,-93.21,32.91,80.3,0.0,False
191.62,3,Concrete,-72.6,-23.11,115.7,0.4582,True
167.58,3,Concrete,-69.8,-24.74,114.54,0.4629,True
84.7,2,Glass,-80.05,17.44,82.61,0.0,False
126.68,0,None,-71.72,9.62,82.11,0.0,False
44.99,0,None,-61.31,8.19,73.12,0.0,False
73.84,3,Concrete,-97.21,9.79,107.42,0.0,False
90.53,0,None,-68.81,9.62,79.19,0.0,False
195.02,2,Glass,-84.81,14.96,89.86,0.0,False
152.27,1,Glass,-69.98,4.27,85.71,0.0096,False
95.91,4,Glass,-85.17,17.48,87.69,0.0,False
125.65,2,Concrete,-98.65,16.61,102.04,0.0,False
121.14,3,Concrete,-71.94,-19.78,111.72,0.4358,True
87.31,3,Glass,-88.74,23.87,84.88,0.0,False
76.98,3,Concrete,-70.24,-17.54,107.78,0.4207,True
116.0,2,Concrete,-71.66,-9.68,101.34,0.3133,True
30.77,3,Concrete,-97.06,17.25,99.82,0.0,False
112.51,0,None,-62.99,1.91,81.08,0.0398,False
143.22,0,None,-95.31,32.13,83.17,0.0,False
45.72,0,None,-89.41,36.15,73.26,0.0,False
187.66,2,Concrete,-71.17,-14.35,105.52,0.3967,True
23.48,4,Glass,-60.42,4.95,75.47,0.0065,False
164.47,3,Concrete,-81.39,-12.98,114.38,0.3786,True
25.99,4,Glass,-92.93,36.58,76.35,0.0,False
76.55,1,Glass,-83.53,23.79,79.73,0.0,False
93.63,3,Glass,-80.85,15.37,85.48,0.0,False
191.57,4,Concrete,-68.79,-36.91,125.7,0.4987,True
55.55,2,Glass,-91.47,32.52,78.95,0.0,False
193.01,0,None,-98.92,33.15,85.77,0.0,False
128.99,3,Glass,-74.04,5.77,88.27,0.0034,False
132.52,1,Concrete,-97.23,24.73,92.5,0.0,False
189.37,3,Concrete,-63.9,-31.7,115.6,0.4806,True
114.95,1,Concrete,-99.14,27.88,91.26,0.0,False
105.92,0,None,-96.64,36.09,80.55,0.0,False
191.95,2,Concrete,-98.39,12.67,105.72,0.0,False
134.43,3,Glass,-60.09,-8.53,88.62,0.3042,True
129.45,2,Concrete,-62.81,-19.49,102.3,0.4367,True
130.99,2,Glass,-69.57,3.17,86.4,0.0205,False
173.38,4,Glass,-93.7,20.87,92.83,0.0,False
144.77,2,Glass,-80.77,13.5,87.27,0.0,False
121.88,0,None,-60.43,-1.35,81.77,0.1128,True
173.87,4,Glass,-79.3,6.44,92.86,0.0013,False
180.29,0,None,-96.37,31.2,85.17,0.0,False
180.5,0,None,-75.08,9.9,85.18,0.0,False
109.44,1,Concrete,-71.62,0.79,90.84,0.0613,False
186.28,1,Glass,-74.55,7.09,87.46,0.0014,False
152.22,0,None,-63.51,-0.2,83.7,0.081,False
136.66,0,None,-91.57,28.8,82.77,0.0,False
122.81,4,Concrete,-79.33,-22.51,121.84,0.4616,True
158.43,0,None,-71.65,7.59,84.05,0.0005,False
178.24,3,Glass,-74.51,3.44,91.07,0.0164,False
21.74,3,Glass,-67.35,14.55,72.8,0.0,False
193.87,2,Glass,-68.83,-0.97,89.8,0.1039,True
173.22,1,Glass,-86.77,19.94,86.83,0.0,False
42.45,4,Concrete,-76.87,-15.74,112.61,0.4072,True
132.1,3,Glass,-92.11,23.64,88.47,0.0,False
100.82,0,None,-98.18,38.05,80.13,0.0,False
161.36,1,Glass,-76.64,10.43,86.21,0.0,False
87.58,2,Concrete,-83.55,4.64,98.9,0.0074,False
55.53,2,Concrete,-83.0,8.05,94.94,0.0001,False
112.84,0,None,-75.07,13.96,81.1,0.0,False
165.62,1,Concrete,-63.44,-11.0,94.44,0.3475,True
113.32,3,Glass,-62.69,-4.45,87.14,0.1972,True
41.47,3,Concrete,-80.4,-2.01,102.41,0.1265,True
92.48,2,Concrete,-77.51,-1.86,99.38,0.1226,True
199.1,4,Concrete,-69.61,-36.43,126.04,0.4947,True
86.03,0,None,-91.33,32.58,78.75,0.0,False
29.33,1,Concrete,-63.76,4.36,79.4,0.0119,False
96.45,1,Glass,-76.94,15.2,81.74,0.0,False
188.81,0,None,-73.15,7.58,85.57,0.0001,False
55.51,3,Concrete,-67.51,-17.43,104.94,0.4191,True
32.35,2,Glass,-75.54,21.29,74.25,0.0,False
49.62,3,Glass,-65.63,5.66,79.97,0.0032,False
60.24,4,Glass,-95.16,31.51,83.65,0.0,False
106.62,3,Concrete,-94.85,4.24,110.61,0.0117,False
96.95,0,None,-91.59,31.8,79.79,0.0,False
79.94,0,None,-78.18,20.07,78.11,0.0,False
104.17,4,Concrete,-94.94,-5.47,120.41,0.2326,True
56.24,0,None,-79.13,24.08,75.05,0.0,False
196.88,2,Concrete,-83.27,-2.67,105.94,0.1512,True
93.83,2,Glass,-61.61,-1.89,83.5,0.1234,True
50.94,3,Concrete,-81.33,-2.87,104.19,0.1527,True
49.16,0,None,-77.26,23.38,73.89,0.0,False
101.33,4,Glass,-76.69,8.52,88.17,0.0001,False
118.22,1,Concrete,-90.84,19.33,91.51,0.0,False
119.22,1,Glass,-73.65,10.07,83.58,0.0,False
116.75,0,None,-77.0,15.6,81.4,0.0,False
29.94,4,Glass,-63.25,5.68,77.58,0.003,False
92.85,3,Glass,-77.86,12.45,85.41,0.0,False
117.29,4,Concrete,-79.93,-21.51,121.44,0.4486,True
46.61,3,Concrete,-69.73,-13.7,103.42,0.3851,True
41.49,3,Concrete,-85.45,3.04,102.41,0.0263,False
116.73,2,Glass,-93.01,27.61,85.4,0.0,False
66.64,2,Glass,-65.77,5.24,80.53,0.0037,False
137.38,0,None,-97.36,34.55,82.81,0.0,False
29.11,1,Concrete,-80.36,21.03,79.34,0.0,False
34.93,2,Concrete,-93.44,22.52,90.92,0.0,False
108.63,2,Concrete,-60.47,-20.31,100.77,0.4406,True
135.26,0,None,-90.48,27.8,82.68,0.0,False
197.94,1,Glass,-72.72,4.73,87.98,0.0076,False
147.49,0,None,-71.96,8.53,83.43,0.0001,False
